,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.25,0.1495049,288.0,1,0train,22,2,BNCI2014-001,GLE Gram
1,0.25,0.13084912,288.0,1,1test,22,2,BNCI2014-001,GLE Gram
2,0.25,0.14332199,288.0,2,0train,22,2,BNCI2014-001,GLE Gram
3,0.25,0.13489676,288.0,2,1test,22,2,BNCI2014-001,GLE Gram
4,0.25,0.1464119,288.0,3,0train,22,2,BNCI2014-001,GLE Gram
5,0.25,0.15205383,288.0,3,1test,22,2,BNCI2014-001,GLE Gram
6,0.25,0.15046477,288.0,4,0train,22,2,BNCI2014-001,GLE Gram
7,0.25,0.15487695,288.0,4,1test,22,2,BNCI2014-001,GLE Gram
8,0.25,0.14764905,288.0,5,0train,22,2,BNCI2014-001,GLE Gram
9,0.25,0.14337587,288.0,5,1test,22,2,BNCI2014-001,GLE Gram
10,0.25,0.16474915,288.0,6,0train,22,2,BNCI2014-001,GLE Gram
11,0.25,0.14429784,288.0,6,1test,22,2,BNCI2014-001,GLE Gram
12,0.25,0.15602994,288.0,7,0train,22,2,BNCI2014-001,GLE Gram
13,0.25,0.15414095,288.0,7,1test,22,2,BNCI2014-001,GLE Gram
14,0.25,0.17151308,288.0,8,0train,22,2,BNCI2014-001,GLE Gram
15,0.25,0.13117695,288.0,8,1test,22,2,BNCI2014-001,GLE Gram
16,0.25,0.13313317,288.0,9,0train,22,2,BNCI2014-001,GLE Gram
17,0.25,0.13186216,288.0,9,1test,22,2,BNCI2014-001,GLE Gram
18,0.25,0.11017513,288.0,1,0train,22,2,BNCI2014-001,LE Gram
19,0.25,0.13211179,288.0,1,1test,22,2,BNCI2014-001,LE Gram
20,0.25,0.11380482,288.0,2,0train,22,2,BNCI2014-001,LE Gram
21,0.25,0.13268185,288.0,2,1test,22,2,BNCI2014-001,LE Gram
22,0.25,0.13469791,288.0,3,0train,22,2,BNCI2014-001,LE Gram
23,0.25,0.13397598,288.0,3,1test,22,2,BNCI2014-001,LE Gram
24,0.25,0.10476613,288.0,4,0train,22,2,BNCI2014-001,LE Gram
25,0.25,0.108453035,288.0,4,1test,22,2,BNCI2014-001,LE Gram
26,0.25,0.10900402,288.0,5,0train,22,2,BNCI2014-001,LE Gram
27,0.25,0.13558125,288.0,5,1test,22,2,BNCI2014-001,LE Gram
28,0.25,0.112812996,288.0,6,0train,22,2,BNCI2014-001,LE Gram
29,0.25,0.12996292,288.0,6,1test,22,2,BNCI2014-001,LE Gram
30,0.25,0.12282896,288.0,7,0train,22,2,BNCI2014-001,LE Gram
31,0.25,0.14559889,288.0,7,1test,22,2,BNCI2014-001,LE Gram
32,0.25,0.12581515,288.0,8,0train,22,2,BNCI2014-001,LE Gram
33,0.25,0.15349197,288.0,8,1test,22,2,BNCI2014-001,LE Gram
34,0.25,0.12422204,288.0,9,0train,22,2,BNCI2014-001,LE Gram
35,0.25,0.12596107,288.0,9,1test,22,2,BNCI2014-001,LE Gram
36,0.25,0.16046596,288.0,1,0train,22,2,BNCI2014-001,CLE Gram
37,0.25,0.15006804,288.0,1,1test,22,2,BNCI2014-001,CLE Gram
38,0.25,0.151474,288.0,2,0train,22,2,BNCI2014-001,CLE Gram
39,0.25,0.17196894,288.0,2,1test,22,2,BNCI2014-001,CLE Gram
40,0.25,0.15793824,288.0,3,0train,22,2,BNCI2014-001,CLE Gram
41,0.25,0.16829896,288.0,3,1test,22,2,BNCI2014-001,CLE Gram
42,0.25,0.13714194,288.0,4,0train,22,2,BNCI2014-001,CLE Gram
43,0.25,0.16363406,288.0,4,1test,22,2,BNCI2014-001,CLE Gram
44,0.25,0.16789794,288.0,5,0train,22,2,BNCI2014-001,CLE Gram
45,0.25,0.15811205,288.0,5,1test,22,2,BNCI2014-001,CLE Gram
46,0.25,0.16389203,288.0,6,0train,22,2,BNCI2014-001,CLE Gram
47,0.25,0.1500361,288.0,6,1test,22,2,BNCI2014-001,CLE Gram
48,0.25,0.17717505,288.0,7,0train,22,2,BNCI2014-001,CLE Gram
49,0.25,0.14814115,288.0,7,1test,22,2,BNCI2014-001,CLE Gram
50,0.25,0.14802599,288.0,8,0train,22,2,BNCI2014-001,CLE Gram
51,0.25,0.14225101,288.0,8,1test,22,2,BNCI2014-001,CLE Gram
52,0.25,0.15128398,288.0,9,0train,22,2,BNCI2014-001,CLE Gram
53,0.25,0.16132617,288.0,9,1test,22,2,BNCI2014-001,CLE Gram
54,0.25,0.40275884,288.0,1,0train,22,2,BNCI2014-001,AIR Gram
55,0.25,0.4201417,288.0,1,1test,22,2,BNCI2014-001,AIR Gram
56,0.25,0.43143606,288.0,2,0train,22,2,BNCI2014-001,AIR Gram
57,0.25,0.40967393,288.0,2,1test,22,2,BNCI2014-001,AIR Gram
58,0.25,0.39876127,288.0,3,0train,22,2,BNCI2014-001,AIR Gram
59,0.25,0.40526676,288.0,3,1test,22,2,BNCI2014-001,AIR Gram
60,0.25,0.3750651,288.0,4,0train,22,2,BNCI2014-001,AIR Gram
61,0.25,0.41401815,288.0,4,1test,22,2,BNCI2014-001,AIR Gram
62,0.25,0.39439678,288.0,5,0train,22,2,BNCI2014-001,AIR Gram
63,0.25,0.42502117,288.0,5,1test,22,2,BNCI2014-001,AIR Gram
64,0.25,0.4062729,288.0,6,0train,22,2,BNCI2014-001,AIR Gram
65,0.25,0.40043998,288.0,6,1test,22,2,BNCI2014-001,AIR Gram
66,0.25,0.41336393,288.0,7,0train,22,2,BNCI2014-001,AIR Gram
67,0.25,0.42590404,288.0,7,1test,22,2,BNCI2014-001,AIR Gram
68,0.25,0.39704895,288.0,8,0train,22,2,BNCI2014-001,AIR Gram
69,0.25,0.44549108,288.0,8,1test,22,2,BNCI2014-001,AIR Gram
70,0.25,0.41501498,288.0,9,0train,22,2,BNCI2014-001,AIR Gram
71,0.25,0.40967393,288.0,9,1test,22,2,BNCI2014-001,AIR Gram
72,0.5,0.053639174,600.0,1,0train,3,5,BNCI2014-004,CLE Gram
73,0.5,0.057192802,600.0,1,1train,3,5,BNCI2014-004,CLE Gram
74,0.5,0.061341286,560.0,1,2train,3,5,BNCI2014-004,CLE Gram
75,0.5,0.0644269,560.0,1,3test,3,5,BNCI2014-004,CLE Gram
76,0.5,0.05520296,560.0,1,4test,3,5,BNCI2014-004,CLE Gram
77,0.5,0.053452015,560.0,2,0train,3,5,BNCI2014-004,CLE Gram
78,0.5,0.047626972,560.0,2,1train,3,5,BNCI2014-004,CLE Gram
79,0.5,0.052864075,520.0,2,2train,3,5,BNCI2014-004,CLE Gram
80,0.5,0.060508966,560.0,2,3test,3,5,BNCI2014-004,CLE Gram
81,0.5,0.059178114,520.0,2,4test,3,5,BNCI2014-004,CLE Gram
82,0.5,0.058926105,600.0,3,0train,3,5,BNCI2014-004,CLE Gram
83,0.5,0.055491924,600.0,3,1train,3,5,BNCI2014-004,CLE Gram
84,0.5,0.06380272,560.0,3,2train,3,5,BNCI2014-004,CLE Gram
85,0.5,0.0561049,560.0,3,3test,3,5,BNCI2014-004,CLE Gram
86,0.5,0.056888103,560.0,3,4test,3,5,BNCI2014-004,CLE Gram
87,0.5,0.050009012,620.0,4,0train,3,5,BNCI2014-004,CLE Gram
88,0.5,0.07303095,600.0,4,1train,3,5,BNCI2014-004,CLE Gram
89,0.5,0.057371855,580.0,4,2train,3,5,BNCI2014-004,CLE Gram
90,0.5,0.059218884,580.0,4,3test,3,5,BNCI2014-004,CLE Gram
91,0.5,0.052136183,580.0,4,4test,3,5,BNCI2014-004,CLE Gram
92,0.5,0.08715916,620.0,5,0train,3,5,BNCI2014-004,CLE Gram
93,0.5,0.05157876,600.0,5,1train,3,5,BNCI2014-004,CLE Gram
94,0.5,0.065155745,580.0,5,2train,3,5,BNCI2014-004,CLE Gram
95,0.5,0.0581131,580.0,5,3test,3,5,BNCI2014-004,CLE Gram
96,0.5,0.06844783,580.0,5,4test,3,5,BNCI2014-004,CLE Gram
97,0.5,0.056333065,600.0,6,0train,3,5,BNCI2014-004,CLE Gram
98,0.5,0.05516076,600.0,6,1train,3,5,BNCI2014-004,CLE Gram
99,0.5,0.060071945,560.0,6,2train,3,5,BNCI2014-004,CLE Gram
100,0.5,0.047843933,560.0,6,3test,3,5,BNCI2014-004,CLE Gram
101,0.5,0.07505107,560.0,6,4test,3,5,BNCI2014-004,CLE Gram
102,0.5,0.062259912,600.0,7,0train,3,5,BNCI2014-004,CLE Gram
103,0.5,0.055894136,600.0,7,1train,3,5,BNCI2014-004,CLE Gram
104,0.5,0.06834984,560.0,7,2train,3,5,BNCI2014-004,CLE Gram
105,0.5,0.060198784,560.0,7,3test,3,5,BNCI2014-004,CLE Gram
106,0.5,0.059191942,560.0,7,4test,3,5,BNCI2014-004,CLE Gram
107,0.5,0.058596134,600.0,8,0train,3,5,BNCI2014-004,CLE Gram
108,0.5,0.051315784,640.0,8,1train,3,5,BNCI2014-004,CLE Gram
109,0.5,0.06787515,600.0,8,2train,3,5,BNCI2014-004,CLE Gram
110,0.5,0.059234858,600.0,8,3test,3,5,BNCI2014-004,CLE Gram
111,0.5,0.05045581,600.0,8,4test,3,5,BNCI2014-004,CLE Gram
112,0.5,0.04785633,600.0,9,0train,3,5,BNCI2014-004,CLE Gram
113,0.5,0.05114007,600.0,9,1train,3,5,BNCI2014-004,CLE Gram
114,0.5,0.056154013,560.0,9,2train,3,5,BNCI2014-004,CLE Gram
115,0.5,0.05965066,560.0,9,3test,3,5,BNCI2014-004,CLE Gram
116,0.5,0.06171012,560.0,9,4test,3,5,BNCI2014-004,CLE Gram
117,0.5,0.057054043,600.0,1,0train,3,5,BNCI2014-004,LE Gram
118,0.5,0.06708479,600.0,1,1train,3,5,BNCI2014-004,LE Gram
119,0.5,0.060650826,560.0,1,2train,3,5,BNCI2014-004,LE Gram
120,0.5,0.04704213,560.0,1,3test,3,5,BNCI2014-004,LE Gram
121,0.5,0.046772003,560.0,1,4test,3,5,BNCI2014-004,LE Gram
122,0.5,0.054023027,560.0,2,0train,3,5,BNCI2014-004,LE Gram
123,0.5,0.06584191,560.0,2,1train,3,5,BNCI2014-004,LE Gram
124,0.5,0.052499056,520.0,2,2train,3,5,BNCI2014-004,LE Gram
125,0.5,0.060006857,560.0,2,3test,3,5,BNCI2014-004,LE Gram
126,0.5,0.050435066,520.0,2,4test,3,5,BNCI2014-004,LE Gram
127,0.5,0.055033922,600.0,3,0train,3,5,BNCI2014-004,LE Gram
128,0.5,0.04938197,600.0,3,1train,3,5,BNCI2014-004,LE Gram
129,0.5,0.055843115,560.0,3,2train,3,5,BNCI2014-004,LE Gram
130,0.5,0.064334154,560.0,3,3test,3,5,BNCI2014-004,LE Gram
131,0.5,0.061952114,560.0,3,4test,3,5,BNCI2014-004,LE Gram
132,0.5,0.05905819,620.0,4,0train,3,5,BNCI2014-004,LE Gram
133,0.5,0.06725407,600.0,4,1train,3,5,BNCI2014-004,LE Gram
134,0.5,0.054208755,580.0,4,2train,3,5,BNCI2014-004,LE Gram
135,0.5,0.055971146,580.0,4,3test,3,5,BNCI2014-004,LE Gram
136,0.5,0.057380915,580.0,4,4test,3,5,BNCI2014-004,LE Gram
137,0.5,0.050223112,620.0,5,0train,3,5,BNCI2014-004,LE Gram
138,0.5,0.061146975,600.0,5,1train,3,5,BNCI2014-004,LE Gram
139,0.5,0.06834674,580.0,5,2train,3,5,BNCI2014-004,LE Gram
140,0.5,0.06379795,580.0,5,3test,3,5,BNCI2014-004,LE Gram
141,0.5,0.059982777,580.0,5,4test,3,5,BNCI2014-004,LE Gram
142,0.5,0.056564808,600.0,6,0train,3,5,BNCI2014-004,LE Gram
143,0.5,0.05668807,600.0,6,1train,3,5,BNCI2014-004,LE Gram
144,0.5,0.050702095,560.0,6,2train,3,5,BNCI2014-004,LE Gram
145,0.5,0.057014942,560.0,6,3test,3,5,BNCI2014-004,LE Gram
146,0.5,0.06385207,560.0,6,4test,3,5,BNCI2014-004,LE Gram
147,0.5,0.055752993,600.0,7,0train,3,5,BNCI2014-004,LE Gram
148,0.5,0.059079885,600.0,7,1train,3,5,BNCI2014-004,LE Gram
149,0.5,0.049685,560.0,7,2train,3,5,BNCI2014-004,LE Gram
150,0.5,0.058005095,560.0,7,3test,3,5,BNCI2014-004,LE Gram
151,0.5,0.055886745,560.0,7,4test,3,5,BNCI2014-004,LE Gram
152,0.5,0.067335844,600.0,8,0train,3,5,BNCI2014-004,LE Gram
153,0.5,0.05588913,640.0,8,1train,3,5,BNCI2014-004,LE Gram
154,0.5,0.06977105,600.0,8,2train,3,5,BNCI2014-004,LE Gram
155,0.5,0.057206154,600.0,8,3test,3,5,BNCI2014-004,LE Gram
156,0.5,0.04953909,600.0,8,4test,3,5,BNCI2014-004,LE Gram
157,0.5,0.049632072,600.0,9,0train,3,5,BNCI2014-004,LE Gram
158,0.5,0.06333208,600.0,9,1train,3,5,BNCI2014-004,LE Gram
159,0.5,0.049389124,560.0,9,2train,3,5,BNCI2014-004,LE Gram
160,0.5,0.05594802,560.0,9,3test,3,5,BNCI2014-004,LE Gram
161,0.5,0.05960083,560.0,9,4test,3,5,BNCI2014-004,LE Gram
162,0.5,0.06282115,600.0,1,0train,3,5,BNCI2014-004,AIR Gram
163,0.5,0.056496143,600.0,1,1train,3,5,BNCI2014-004,AIR Gram
164,0.5,0.058475018,560.0,1,2train,3,5,BNCI2014-004,AIR Gram
165,0.5,0.06459904,560.0,1,3test,3,5,BNCI2014-004,AIR Gram
166,0.5,0.06774998,560.0,1,4test,3,5,BNCI2014-004,AIR Gram
167,0.5,0.06340599,560.0,2,0train,3,5,BNCI2014-004,AIR Gram
168,0.5,0.061253786,560.0,2,1train,3,5,BNCI2014-004,AIR Gram
169,0.5,0.07305288,520.0,2,2train,3,5,BNCI2014-004,AIR Gram
170,0.5,0.06212783,560.0,2,3test,3,5,BNCI2014-004,AIR Gram
171,0.5,0.05925417,520.0,2,4test,3,5,BNCI2014-004,AIR Gram
172,0.5,0.06724477,600.0,3,0train,3,5,BNCI2014-004,AIR Gram
173,0.5,0.064107895,600.0,3,1train,3,5,BNCI2014-004,AIR Gram
174,0.5,0.06535888,560.0,3,2train,3,5,BNCI2014-004,AIR Gram
175,0.5,0.06479192,560.0,3,3test,3,5,BNCI2014-004,AIR Gram
176,0.5,0.060414314,560.0,3,4test,3,5,BNCI2014-004,AIR Gram
177,0.5,0.07552004,620.0,4,0train,3,5,BNCI2014-004,AIR Gram
178,0.5,0.079468966,600.0,4,1train,3,5,BNCI2014-004,AIR Gram
179,0.5,0.065368176,580.0,4,2train,3,5,BNCI2014-004,AIR Gram
180,0.5,0.058572054,580.0,4,3test,3,5,BNCI2014-004,AIR Gram
181,0.5,0.06544304,580.0,4,4test,3,5,BNCI2014-004,AIR Gram
182,0.5,0.06260419,620.0,5,0train,3,5,BNCI2014-004,AIR Gram
183,0.5,0.072751045,600.0,5,1train,3,5,BNCI2014-004,AIR Gram
184,0.5,0.080942154,580.0,5,2train,3,5,BNCI2014-004,AIR Gram
185,0.5,0.071792126,580.0,5,3test,3,5,BNCI2014-004,AIR Gram
186,0.5,0.0671103,580.0,5,4test,3,5,BNCI2014-004,AIR Gram
187,0.5,0.06223917,600.0,6,0train,3,5,BNCI2014-004,AIR Gram
188,0.5,0.065794945,600.0,6,1train,3,5,BNCI2014-004,AIR Gram
189,0.5,0.07226634,560.0,6,2train,3,5,BNCI2014-004,AIR Gram
190,0.5,0.08581185,560.0,6,3test,3,5,BNCI2014-004,AIR Gram
191,0.5,0.07151508,560.0,6,4test,3,5,BNCI2014-004,AIR Gram
192,0.5,0.06136298,600.0,7,0train,3,5,BNCI2014-004,AIR Gram
193,0.5,0.05918598,600.0,7,1train,3,5,BNCI2014-004,AIR Gram
194,0.5,0.064569,560.0,7,2train,3,5,BNCI2014-004,AIR Gram
195,0.5,0.064502,560.0,7,3test,3,5,BNCI2014-004,AIR Gram
196,0.5,0.064771175,560.0,7,4test,3,5,BNCI2014-004,AIR Gram
197,0.5,0.069566965,600.0,8,0train,3,5,BNCI2014-004,AIR Gram
198,0.5,0.080247164,640.0,8,1train,3,5,BNCI2014-004,AIR Gram
199,0.5,0.06737304,600.0,8,2train,3,5,BNCI2014-004,AIR Gram
200,0.5,0.09952593,600.0,8,3test,3,5,BNCI2014-004,AIR Gram
201,0.5,0.07407689,600.0,8,4test,3,5,BNCI2014-004,AIR Gram
202,0.5,0.07332897,600.0,9,0train,3,5,BNCI2014-004,AIR Gram
203,0.5,0.07036328,600.0,9,1train,3,5,BNCI2014-004,AIR Gram
204,0.5,0.05969882,560.0,9,2train,3,5,BNCI2014-004,AIR Gram
205,0.5,0.07316208,560.0,9,3test,3,5,BNCI2014-004,AIR Gram
206,0.5,0.082708836,560.0,9,4test,3,5,BNCI2014-004,AIR Gram
207,0.5,0.050062895,600.0,1,0train,3,5,BNCI2014-004,GLE Gram
208,0.5,0.054172993,600.0,1,1train,3,5,BNCI2014-004,GLE Gram
209,0.5,0.049570084,560.0,1,2train,3,5,BNCI2014-004,GLE Gram
210,0.5,0.057971,560.0,1,3test,3,5,BNCI2014-004,GLE Gram
211,0.5,0.06780076,560.0,1,4test,3,5,BNCI2014-004,GLE Gram
212,0.5,0.06160426,560.0,2,0train,3,5,BNCI2014-004,GLE Gram
213,0.5,0.054940224,560.0,2,1train,3,5,BNCI2014-004,GLE Gram
214,0.5,0.06478119,520.0,2,2train,3,5,BNCI2014-004,GLE Gram
215,0.5,0.059816837,560.0,2,3test,3,5,BNCI2014-004,GLE Gram
216,0.5,0.046510696,520.0,2,4test,3,5,BNCI2014-004,GLE Gram
217,0.5,0.06507921,600.0,3,0train,3,5,BNCI2014-004,GLE Gram
218,0.5,0.0642581,600.0,3,1train,3,5,BNCI2014-004,GLE Gram
219,0.5,0.054553032,560.0,3,2train,3,5,BNCI2014-004,GLE Gram
220,0.5,0.05753398,560.0,3,3test,3,5,BNCI2014-004,GLE Gram
221,0.5,0.0732069,560.0,3,4test,3,5,BNCI2014-004,GLE Gram
222,0.5,0.066933155,620.0,4,0train,3,5,BNCI2014-004,GLE Gram
223,0.5,0.059412003,600.0,4,1train,3,5,BNCI2014-004,GLE Gram
224,0.5,0.05163288,580.0,4,2train,3,5,BNCI2014-004,GLE Gram
225,0.5,0.059111357,580.0,4,3test,3,5,BNCI2014-004,GLE Gram
226,0.5,0.061003923,580.0,4,4test,3,5,BNCI2014-004,GLE Gram
227,0.5,0.07754707,620.0,5,0train,3,5,BNCI2014-004,GLE Gram
228,0.5,0.050814867,600.0,5,1train,3,5,BNCI2014-004,GLE Gram
229,0.5,0.06282616,580.0,5,2train,3,5,BNCI2014-004,GLE Gram
230,0.5,0.05945587,580.0,5,3test,3,5,BNCI2014-004,GLE Gram
231,0.5,0.061094046,580.0,5,4test,3,5,BNCI2014-004,GLE Gram
232,0.5,0.059739113,600.0,6,0train,3,5,BNCI2014-004,GLE Gram
233,0.5,0.058405876,600.0,6,1train,3,5,BNCI2014-004,GLE Gram
234,0.5,0.06917596,560.0,6,2train,3,5,BNCI2014-004,GLE Gram
235,0.5,0.050994873,560.0,6,3test,3,5,BNCI2014-004,GLE Gram
236,0.5,0.052515745,560.0,6,4test,3,5,BNCI2014-004,GLE Gram
237,0.5,0.052093983,600.0,7,0train,3,5,BNCI2014-004,GLE Gram
238,0.5,0.050563812,600.0,7,1train,3,5,BNCI2014-004,GLE Gram
239,0.5,0.06381583,560.0,7,2train,3,5,BNCI2014-004,GLE Gram
240,0.5,0.062318087,560.0,7,3test,3,5,BNCI2014-004,GLE Gram
241,0.5,0.06271505,560.0,7,4test,3,5,BNCI2014-004,GLE Gram
242,0.5,0.06753588,600.0,8,0train,3,5,BNCI2014-004,GLE Gram
243,0.5,0.06293297,640.0,8,1train,3,5,BNCI2014-004,GLE Gram
244,0.5,0.068427086,600.0,8,2train,3,5,BNCI2014-004,GLE Gram
245,0.5,0.061169863,600.0,8,3test,3,5,BNCI2014-004,GLE Gram
246,0.5,0.07622981,600.0,8,4test,3,5,BNCI2014-004,GLE Gram
247,0.5,0.073932886,600.0,9,0train,3,5,BNCI2014-004,GLE Gram
248,0.5,0.0593338,600.0,9,1train,3,5,BNCI2014-004,GLE Gram
249,0.5,0.049947977,560.0,9,2train,3,5,BNCI2014-004,GLE Gram
250,0.5,0.062253,560.0,9,3test,3,5,BNCI2014-004,GLE Gram
251,0.5,0.06842327,560.0,9,4test,3,5,BNCI2014-004,GLE Gram
252,0.5,0.08365989,200.0,1,0A,13,2,BNCI2015-001,GLE Gram
253,0.5,0.06877518,200.0,1,1B,13,2,BNCI2015-001,GLE Gram
254,0.5,0.09728265,200.0,2,0A,13,2,BNCI2015-001,GLE Gram
255,0.5,0.07397699,200.0,2,1B,13,2,BNCI2015-001,GLE Gram
256,0.5,0.075592995,200.0,3,0A,13,2,BNCI2015-001,GLE Gram
257,0.5,0.07729101,200.0,3,1B,13,2,BNCI2015-001,GLE Gram
258,0.5,0.07496405,200.0,4,0A,13,2,BNCI2015-001,GLE Gram
259,0.5,0.08711815,200.0,4,1B,13,2,BNCI2015-001,GLE Gram
260,0.5,0.07530022,200.0,5,0A,13,2,BNCI2015-001,GLE Gram
261,0.5,0.08933711,200.0,5,1B,13,2,BNCI2015-001,GLE Gram
262,0.5,0.08281112,200.0,6,0A,13,2,BNCI2015-001,GLE Gram
263,0.5,0.08038807,200.0,6,1B,13,2,BNCI2015-001,GLE Gram
264,0.5,0.08157325,200.0,7,0A,13,2,BNCI2015-001,GLE Gram
265,0.5,0.078036785,200.0,7,1B,13,2,BNCI2015-001,GLE Gram
266,0.5,0.11475325,400.0,8,0A,13,2,BNCI2015-001,GLE Gram
267,0.5,0.12675524,400.0,8,1B,13,2,BNCI2015-001,GLE Gram
268,0.5,0.11600208,400.0,8,2C,13,2,BNCI2015-001,GLE Gram
269,0.5,0.12344885,400.0,9,0A,13,2,BNCI2015-001,GLE Gram
270,0.5,0.10189891,400.0,9,1B,13,2,BNCI2015-001,GLE Gram
271,0.5,0.12582135,400.0,9,2C,13,2,BNCI2015-001,GLE Gram
272,0.5,0.12554598,400.0,10,0A,13,2,BNCI2015-001,GLE Gram
273,0.5,0.13159084,400.0,10,1B,13,2,BNCI2015-001,GLE Gram
274,0.5,0.11018801,400.0,10,2C,13,2,BNCI2015-001,GLE Gram
275,0.5,0.12945795,400.0,11,0A,13,2,BNCI2015-001,GLE Gram
276,0.5,0.13080788,400.0,11,1B,13,2,BNCI2015-001,GLE Gram
277,0.5,0.12508917,400.0,11,2C,13,2,BNCI2015-001,GLE Gram
278,0.5,0.06970501,200.0,12,0A,13,2,BNCI2015-001,GLE Gram
279,0.5,0.07468724,200.0,12,1B,13,2,BNCI2015-001,GLE Gram
280,0.5,0.06562686,200.0,1,0A,13,2,BNCI2015-001,LE Gram
281,0.5,0.07697511,200.0,1,1B,13,2,BNCI2015-001,LE Gram
282,0.5,0.069450855,200.0,2,0A,13,2,BNCI2015-001,LE Gram
283,0.5,0.08597469,200.0,2,1B,13,2,BNCI2015-001,LE Gram
284,0.5,0.06430483,200.0,3,0A,13,2,BNCI2015-001,LE Gram
285,0.5,0.06612587,200.0,3,1B,13,2,BNCI2015-001,LE Gram
286,0.5,0.064088106,200.0,4,0A,13,2,BNCI2015-001,LE Gram
287,0.5,0.06970787,200.0,4,1B,13,2,BNCI2015-001,LE Gram
288,0.5,0.06525326,200.0,5,0A,13,2,BNCI2015-001,LE Gram
289,0.5,0.074677944,200.0,5,1B,13,2,BNCI2015-001,LE Gram
290,0.5,0.06500673,200.0,6,0A,13,2,BNCI2015-001,LE Gram
291,0.5,0.07386589,200.0,6,1B,13,2,BNCI2015-001,LE Gram
292,0.5,0.06510019,200.0,7,0A,13,2,BNCI2015-001,LE Gram
293,0.5,0.08307004,200.0,7,1B,13,2,BNCI2015-001,LE Gram
294,0.5,0.096003056,400.0,8,0A,13,2,BNCI2015-001,LE Gram
295,0.5,0.10983229,400.0,8,1B,13,2,BNCI2015-001,LE Gram
296,0.5,0.11957002,400.0,8,2C,13,2,BNCI2015-001,LE Gram
297,0.5,0.10598707,400.0,9,0A,13,2,BNCI2015-001,LE Gram
298,0.5,0.11407304,400.0,9,1B,13,2,BNCI2015-001,LE Gram
299,0.5,0.14046502,400.0,9,2C,13,2,BNCI2015-001,LE Gram
300,0.5,0.10081601,400.0,10,0A,13,2,BNCI2015-001,LE Gram
301,0.5,0.11767602,400.0,10,1B,13,2,BNCI2015-001,LE Gram
302,0.5,0.124010324,400.0,10,2C,13,2,BNCI2015-001,LE Gram
303,0.5,0.09696102,400.0,11,0A,13,2,BNCI2015-001,LE Gram
304,0.5,0.109392166,400.0,11,1B,13,2,BNCI2015-001,LE Gram
305,0.5,0.117550135,400.0,11,2C,13,2,BNCI2015-001,LE Gram
306,0.5,0.064431906,200.0,12,0A,13,2,BNCI2015-001,LE Gram
307,0.5,0.07242966,200.0,12,1B,13,2,BNCI2015-001,LE Gram
308,0.5,0.17600918,200.0,1,0A,13,2,BNCI2015-001,AIR Gram
309,0.5,0.19457102,200.0,1,1B,13,2,BNCI2015-001,AIR Gram
310,0.5,0.19787478,200.0,2,0A,13,2,BNCI2015-001,AIR Gram
311,0.5,0.17864108,200.0,2,1B,13,2,BNCI2015-001,AIR Gram
312,0.5,0.16040897,200.0,3,0A,13,2,BNCI2015-001,AIR Gram
313,0.5,0.14168906,200.0,3,1B,13,2,BNCI2015-001,AIR Gram
314,0.5,0.15132308,200.0,4,0A,13,2,BNCI2015-001,AIR Gram
315,0.5,0.15941596,200.0,4,1B,13,2,BNCI2015-001,AIR Gram
316,0.5,0.14150381,200.0,5,0A,13,2,BNCI2015-001,AIR Gram
317,0.5,0.14437294,200.0,5,1B,13,2,BNCI2015-001,AIR Gram
318,0.5,0.16878486,200.0,6,0A,13,2,BNCI2015-001,AIR Gram
319,0.5,0.14706779,200.0,6,1B,13,2,BNCI2015-001,AIR Gram
320,0.5,0.15844297,200.0,7,0A,13,2,BNCI2015-001,AIR Gram
321,0.5,0.15388966,200.0,7,1B,13,2,BNCI2015-001,AIR Gram
322,0.5,0.23014522,400.0,8,0A,13,2,BNCI2015-001,AIR Gram
323,0.5,0.23307586,400.0,8,1B,13,2,BNCI2015-001,AIR Gram
324,0.5,0.21929216,400.0,8,2C,13,2,BNCI2015-001,AIR Gram
325,0.5,0.2322011,400.0,9,0A,13,2,BNCI2015-001,AIR Gram
326,0.5,0.22713184,400.0,9,1B,13,2,BNCI2015-001,AIR Gram
327,0.5,0.23263621,400.0,9,2C,13,2,BNCI2015-001,AIR Gram
328,0.5,0.26476598,400.0,10,0A,13,2,BNCI2015-001,AIR Gram
329,0.5,0.24840117,400.0,10,1B,13,2,BNCI2015-001,AIR Gram
330,0.5,0.256099,400.0,10,2C,13,2,BNCI2015-001,AIR Gram
331,0.5,0.23089099,400.0,11,0A,13,2,BNCI2015-001,AIR Gram
332,0.5,0.22787595,400.0,11,1B,13,2,BNCI2015-001,AIR Gram
333,0.5,0.22526598,400.0,11,2C,13,2,BNCI2015-001,AIR Gram
334,0.5,0.15732026,200.0,12,0A,13,2,BNCI2015-001,AIR Gram
335,0.5,0.15121579,200.0,12,1B,13,2,BNCI2015-001,AIR Gram
336,0.5,0.08752775,200.0,1,0A,13,2,BNCI2015-001,CLE Gram
337,0.5,0.07353902,200.0,1,1B,13,2,BNCI2015-001,CLE Gram
338,0.5,0.08356619,200.0,2,0A,13,2,BNCI2015-001,CLE Gram
339,0.5,0.10137105,200.0,2,1B,13,2,BNCI2015-001,CLE Gram
340,0.5,0.09153628,200.0,3,0A,13,2,BNCI2015-001,CLE Gram
341,0.5,0.08620596,200.0,3,1B,13,2,BNCI2015-001,CLE Gram
342,0.5,0.08780289,200.0,4,0A,13,2,BNCI2015-001,CLE Gram
